"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2017S002392    ",2,"Eixample",5,"el Fort Pienc",100800,"Diputació","0406 0408","Divendres","2017",3,"Març","24","20","No respectat pas de vianants","Tarda","431183.42 ","4584096   ","2.17557935440660","41.4036179318110"
"2017S007536    ",2,"Eixample",5,"el Fort Pienc",197302,"Marina","0170 0170","Dilluns","2017",9,"Setembre","11","19","Envair calçada contrària","Tarda","431720.39 ","4583558.36","2.18206352851565","41.3988213960858"
"2017S000158    ",2,"Eixample",5,"el Fort Pienc",197302,"Marina","0160 0160","Dissabte","2017",1,"Gener","7","18","Manca d'atenció a la conducció","Tarda","431993.66 ","4583276.21","2.18536399060445","41.3963033319729"
"2017S001745    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0830 0830","Divendres","2017",3,"Març","3","11","Manca d'atenció a la conducció","Matí","431373.97 ","4583113.78","2.17797023316118","41.3947876808917"
"2017S003538    ",2,"Eixample",6,"la Sagrada Família",178308,"Lepant","0319B0319B","Dijous","2017",4,"Abril","20","19","No respectar distàncies","Tarda","430992.2  ","4584476.26","2.17324850309151","41.4070264035804"
"2017S004755    ",2,"Eixample",5,"el Fort Pienc",100800,"Diputació","0428 0428","Dimarts","2017",5,"Maig","30","13","Manca precaució efectuar marxa enrera","Matí","431545.26 ","4583698.06","2.17995288781257","41.4000647277180"
"2017S003428    ",2,"Eixample",5,"el Fort Pienc",144601,"Diagonal","0277 0279","Dissabte","2017",4,"Abril","15","21","Desobeir semàfor","Tarda","431264.72 ","4583795.85","2.17658601302696","41.4009215366260"
"2017S000514    ",2,"Eixample",6,"la Sagrada Família",197302,"Marina","0326 0326","Dijous","2017",1,"Gener","19","15","Manca d'atenció a la conducció","Tarda","431555.75 ","4583538.8 ","2.18009638778352","41.3986312149113"
"2017S002478    ",2,"Eixample",6,"la Sagrada Família",197302,"Marina","0336I0336I","Dimarts","2017",3,"Març","28","14","No respectar distàncies","Tarda","432294.33 ","4584205.8 ","2.18885628790920","41.4047012788959"
"2017S002099    ",3,"Sants-Montjuïc",11,"el Poble-sec",234500,"Olivera","0074 0074","Dimecres","2017",3,"Març","15","21","Altres","Tarda","431553.84 ","4583500.42","2.18007788396057","41.3982853750798"
"2017S003431    ",2,"Eixample",6,"la Sagrada Família",18505,"Aragó","0435 0435","Diumenge","2017",4,"Abril","16","13","Desconegut","Matí","431369.71 ","4583900.93","2.17782997477459","41.4018769362751"
"2017S005934    ",2,"Eixample",5,"el Fort Pienc",11200,"Almogàvers","0063 0063","Divendres","2017",7,"Juliol","7","13","Altres","Matí","432028.1  ","4583016.96","2.18580505824673","41.3939712550912"
"2017S008529    ",2,"Eixample",5,"el Fort Pienc",76807,"Sardenya","0091 0091","Dilluns","2017",10,"Octubre","16","09","Manca d'atenció a la conducció","Matí","431946.11 ","4583083.62","2.18481690257829","41.3945647025553"
"2017S007870    ",2,"Eixample",5,"el Fort Pienc",9209,"Alí Bei","0110 0110","Divendres","2017",9,"Setembre","22","20","Altres","Tarda","431937.24 ","4583291.59","2.18468741347031","41.3964370775029"
"2017S008616    ",2,"Eixample",6,"la Sagrada Família",90502,"Còrsega","0577 0579","Dijous","2017",10,"Octubre","19","08","No respectar distàncies","Matí","431026.55 ","4584523.96","2.17365399296096","41.4074589725057"
"2017S007260    ",2,"Eixample",5,"el Fort Pienc",197302,"Marina","0169 0175","Dimecres","2017",8,"Agost","30","13","No determinada","Matí","431648.43 ","4583591.24","2.18119905796476","41.3991114170627"
"2017S004609    ",2,"Eixample",5,"el Fort Pienc",325005,"Sicília","0206 0206","Dijous","2017",5,"Maig","25","10","No cedir la dreta","Matí","431457.14 ","4583406.9 ","2.17893180589330","41.3974348242153"
"2017S000434    ",2,"Eixample",5,"el Fort Pienc",76807,"Sardenya","0270 0270","Dimarts","2017",1,"Gener","17","08","Canvi de carril sense precaució","Matí","431743.09 ","4583649.26","2.18232479903298","41.3996420343906"
"2017S009801    ",2,"Eixample",6,"la Sagrada Família",161407,"Indústria","0172 0174","Divendres","2017",11,"Novembre","24","18","Gir indegut o sense precaució","Tarda","431178.88 ","4584841.26","2.17544022040028","41.4103298575381"
"2017S000675    ",2,"Eixample",6,"la Sagrada Família",68900,"Cartagena","0313 0313","Dijous","2017",1,"Gener","26","08","Altres","Matí","431264.72 ","4583795.85","2.17658601302696","41.4009215366260"
"2017S002364    ",3,"Sants-Montjuïc",11,"el Poble-sec",234500,"Olivera","0027 0027","Divendres","2017",3,"Març","24","13","No respectar distàncies","Matí","431074.8  ","4583801.69","2.17431353505974","41.4009578624778"
"2017S001331    ",2,"Eixample",5,"el Fort Pienc",89004,"Consell de Cent","0484 0484","Divendres","2017",2,"Febrer","17","13","Desobeir semàfor","Matí","431752.09 ","4583696.66","2.18242710642775","41.4000697167210"
"2017S005827    ",2,"Eixample",6,"la Sagrada Família",90502,"Còrsega","0597 0597","Dimarts","2017",7,"Juliol","4","23","Manca d'atenció a la conducció","Nit","431087.38 ","4584563.89","2.17437715985507","41.4078238308086"
"2017S002463    ",2,"Eixample",5,"el Fort Pienc",76807,"Sardenya","0198 0198","Dimarts","2017",3,"Març","28","08","Manca d'atenció a la conducció","Matí","431167.04 ","4583702.85","2.17542815357121","41.4000755508619"
"2017S009781    ",2,"Eixample",5,"el Fort Pienc",76807,"Sardenya","0209 0209","Divendres","2017",11,"Novembre","24","14","Canvi de carril sense precaució","Tarda","431451.65 ","4583605.7 ","2.17884361052986","41.3992248870339"
"2017S003227    ",2,"Eixample",5,"el Fort Pienc",76807,"Sardenya","0225 0227","Divendres","2017",4,"Abril","7","14","Desobeir semàfor","Tarda","431357.22 ","4583702.93","2.17770303876564","41.4000925445264"
"2017S001006    ",2,"Eixample",5,"el Fort Pienc",89004,"Consell de Cent","0506 0506","Dilluns","2017",2,"Febrer","6","20","Desobeir semàfor","Tarda","431843.45 ","4583785.44","2.18350993359001","41.4008770883891"
"2017S004406    ",2,"Eixample",5,"el Fort Pienc",100800,"Diputació","0433 0433","Dijous","2017",5,"Maig","18","12","Avançament defectuós/improcedent","Matí","431451.65 ","4583605.7 ","2.17884361052986","41.3992248870339"
"2017S000798    ",2,"Eixample",5,"el Fort Pienc",100800,"Diputació","0437 0437","Dilluns","2017",1,"Gener","30","15","Manca d'atenció a la conducció","Tarda","431937.47 ","4583875.38","2.18462447624276","41.4016951231665"
"2017S000698    ",2,"Eixample",5,"el Fort Pienc",100800,"Diputació","0437 0437","Dijous","2017",1,"Gener","26","19","Desobeir altres senyals","Tarda","431937.47 ","4583875.38","2.18462447624276","41.4016951231665"
"2017S007324    ",2,"Eixample",6,"la Sagrada Família",178308,"Lepant","0301 0301","Divendres","2017",9,"Setembre","1","17","Gir indegut o sense precaució","Tarda","431089.06 ","4584377.39","2.17441851292212","41.4061442305096"
"2017S003451    ",3,"Sants-Montjuïc",11,"el Poble-sec",178400,"Lleida","0007 0007","Dimarts","2017",4,"Abril","18","09","No respectar distàncies","Matí","429362.09 ","4580876.96","2.15416759716895","41.3744670465098"
"2017S007208    ",2,"Eixample",6,"la Sagrada Família",191204,"Mallorca","0404 0404","Dilluns","2017",8,"Agost","28","09","Altres","Matí","431076.4  ","4583988.83","2.17431134802627","41.4026435099688"
"2017S000892    ",2,"Eixample",6,"la Sagrada Família",191204,"Mallorca","0410 0414","Dijous","2017",2,"Febrer","2","09","Desobeir semàfor","Matí","431167.04 ","4583702.85","2.17542815357121","41.4000755508619"
"2017S006438    ",2,"Eixample",5,"el Fort Pienc",225500,"Nàpols","0041 0059","Dilluns","2017",7,"Juliol","24","09","Altres","Matí","431770.36 ","4582858.86","2.18274013635392","41.3925254486186"
"2017S006438    ",2,"Eixample",5,"el Fort Pienc",225500,"Nàpols","0041 0059","Dilluns","2017",7,"Juliol","24","09","No respectar distàncies","Matí","431770.36 ","4582858.86","2.18274013635392","41.3925254486186"
"2017S007245    ",2,"Eixample",6,"la Sagrada Família",197302,"Marina","0251 0251","Dimecres","2017",8,"Agost","30","05","Manca d'atenció a la conducció","Nit","431198.39 ","4584065.14","2.17576194298088","41.4033412680504"
"2017S006791    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0788 0788","Diumenge","2017",8,"Agost","6","00","No respectar distàncies","Nit","431747.41 ","4583653.48","2.18237599753968","41.3996804097218"
"2017S009932    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0794 0794","Dimecres","2017",11,"Novembre","29","04","Desobeir semàfor","Nit","431752.09 ","4583696.66","2.18242710642775","41.4000697167210"
"2017S002379    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0691 0693","Divendres","2017",3,"Març","24","18","Avançament defectuós/improcedent","Tarda","430793.62 ","4584087.64","2.17091735564472","41.4035091452827"
"2017S005725    ",2,"Eixample",6,"la Sagrada Família",350308,"València","0448B0448B","Dissabte","2017",7,"Juliol","1","11","Gir indegut o sense precaució","Matí","431276.93 ","4583999.47","2.17670893164829","41.4027565226966"
"2017S006803    ",3,"Sants-Montjuïc",11,"el Poble-sec",198804,"Paral·lel","0181 0183","Diumenge","2017",8,"Agost","6","19","No respectat pas de vianants","Tarda","429393.62 ","4580915.83","2.15454007105833","41.3748199054062"
"2017S000941    ",3,"Sants-Montjuïc",11,"el Poble-sec",86301,"Concòrdia","0026 0026","Divendres","2017",2,"Febrer","3","18","Manca d'atenció a la conducció","Tarda","431373.97 ","4583113.78","2.17797023316118","41.3947876808917"
"2017S003301    ",2,"Eixample",6,"la Sagrada Família",142300,"Gaudí","0008 0008","Dilluns","2017",4,"Abril","10","20","Altres","Tarda","431101.65 ","4584277.6 ","2.17458049581278","41.4052465345324"
"2017S007184    ",2,"Eixample",6,"la Sagrada Família",350308,"València","0377 0379","Dissabte","2017",8,"Agost","26","10","Manca precaució incorporació circulació","Matí","431004.15 ","4583748.72","2.17347446584890","41.4004747135628"
"2017S005316    ",2,"Eixample",5,"el Fort Pienc",9209,"Alí Bei","0049 0049","Dissabte","2017",6,"Juny","17","17","Desobeir semàfor","Tarda","431558.69 ","4582921.93","2.18020133977563","41.3930755004190"
"2017S004885    ",2,"Eixample",6,"la Sagrada Família",289105,"Rosselló","0435 0435","Dissabte","2017",6,"Juny","3","08","Altres","Matí","430996.4  ","4584288.18","2.17332021080746","41.4053327896833"
"2017S004466    ",2,"Eixample",6,"la Sagrada Família",142355,"Gaudí","0008X0008X","Dissabte","2017",5,"Maig","20","09","Desconegut","Matí","431183.42 ","4584096   ","2.17557935440660","41.4036179318110"
"2017S010005    ",2,"Eixample",6,"la Sagrada Família",197302,"Marina","0323 0323","Dijous","2017",11,"Novembre","30","22","Manca d'atenció a la conducció","Nit","430739.19 ","4584539.85","2.17021444719509","41.4075773579408"
"2017S001492    ",2,"Eixample",5,"el Fort Pienc",28305,"Ausiàs Marc","0108 0110","Dijous","2017",2,"Febrer","23","09","No respectar distàncies","Matí","429624.81 ","4580912.92","2.15730477229724","41.3748139642811"
"2017S006057    ",2,"Eixample",6,"la Sagrada Família",297001,"Sant Antoni Maria Claret","0216 0220","Dimecres","2017",7,"Juliol","12","08","Desobeir altres senyals","Matí","431087.05 ","4584936.71","2.17433071611861","41.4111816686798"
"2017S010388    ",2,"Eixample",6,"la Sagrada Família",297001,"Sant Antoni Maria Claret","0216 0220","Dissabte","2017",12,"Desembre","16","00","No respectar distàncies","Nit","431087.05 ","4584936.71","2.17433071611861","41.4111816686798"
